id,team_id,programming_language,traction_wheels,pneumatic_wheels,omni_wheels,mecanum_wheels,other_wheels,swerve_x_wcp,swerve_sds,swerve_rev,swerve_custom,tank_drive,arcade_drive,other_drive,robot_inspection_weight_lbs,floor_pickup,source_direct,fit_under_stage,communication_barrier,notes,timestamp
65,9003,Java,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"Climb
no trap","2024-04-04 12:55:34"
66,9403,Java,1,0,0,0,0,0,0,1,0,0,0,0,70,1,0,1,0,,"2024-04-04 12:55:34"
67,10,Java,1,0,0,0,0,0,1,0,0,0,0,0,117,1,1,1,0,,"2024-04-04 12:56:20"
68,122,C++,1,0,0,0,0,0,1,0,0,0,0,0,99,1,0,1,0,,"2024-04-04 12:56:20"
69,404,Java,1,0,0,0,0,0,0,1,0,0,0,0,100,1,0,1,0,,"2024-04-04 12:56:20"
70,619,Java,1,0,0,0,0,0,1,0,0,0,0,0,112,0,1,1,0,,"2024-04-04 12:56:21"
71,1262,Java,1,0,0,0,0,0,1,0,0,0,0,0,122,1,1,1,0,,"2024-04-04 12:56:21"
72,1610,Java,1,0,0,0,0,0,0,1,0,0,0,0,95,1,0,1,0,,"2024-04-04 12:56:21"
73,21999,C++,0,0,1,0,0,0,0,1,0,0,0,0,90,1,0,1,0,,"2024-04-04 12:56:22"
74,58,Java,1,0,0,0,0,0,1,0,0,0,0,0,112,1,1,1,0,,"2024-04-17 21:06:45"
75,59,Java,1,0,0,0,0,0,1,0,0,0,0,0,121,1,1,1,0,,"2024-04-17 21:06:45"
76,85,Java,1,0,0,0,0,0,1,0,0,0,0,0,115,1,0,1,0,,"2024-04-17 21:06:45"
77,111,Java,1,0,0,0,0,0,0,1,0,0,0,0,112,1,0,1,0,,"2024-04-17 21:06:45"
78,254,Java,1,0,0,0,0,0,1,0,0,0,0,0,125,1,1,1,0,,"2024-04-17 21:06:45"
79,294,Java,1,0,0,0,0,0,1,0,0,0,0,0,119,1,0,1,0,,"2024-04-17 21:06:45"
80,316,Java,1,0,0,0,0,0,1,0,0,0,0,0,125,1,1,1,0,,"2024-04-17 21:06:45"
81,359,Java,1,0,0,0,0,0,1,0,0,0,0,0,120,1,0,1,0,,"2024-04-17 21:06:45"
82,369,Java,1,0,0,0,0,0,1,0,0,0,0,0,117,0,1,1,1,"not sure what swerve","2024-04-17 21:06:46"
83,610,Java,1,0,0,0,0,0,1,0,0,0,0,0,98,1,1,1,0,,"2024-04-17 21:06:46"
84,1025,Java,1,0,0,0,0,0,0,1,0,0,0,0,125,1,0,1,0,,"2024-04-17 21:06:46"
85,1156,Java,0,0,0,0,1,0,1,0,0,0,0,0,105,1,0,1,0,"3d print wheels","2024-04-17 21:06:46"
86,1189,Java,1,0,0,0,0,0,0,1,0,0,0,0,110,1,1,1,0,,"2024-04-17 21:06:46"
87,1323,Java,1,0,0,0,0,1,0,0,0,0,0,0,125,1,0,1,0,,"2024-04-17 21:06:46"
88,1778,Other,1,0,0,0,0,0,1,0,0,0,0,0,114,1,1,1,0,"kotlin programming language","2024-04-17 21:06:47"
89,1792,Java,1,0,0,0,0,0,0,1,0,0,0,0,121,1,0,1,0,"not sure what swerve type","2024-04-17 21:06:47"
90,1797,Java,1,0,0,0,0,0,0,1,0,0,0,0,109,1,1,1,0,,"2024-04-17 21:06:47"
91,3339,Java,1,0,0,0,0,0,1,0,1,0,0,0,97,1,1,1,0,,"2024-04-17 21:06:47"
92,3354,Other,1,0,0,0,0,0,1,0,0,0,0,0,110,1,0,1,1,,"2024-04-17 21:06:47"
93,3472,Java,0,0,0,1,0,0,0,0,0,0,1,0,101,1,0,1,1,,"2024-04-17 21:06:47"
94,3478,Java,1,0,0,0,0,0,0,0,1,0,0,0,125,1,1,1,0,"mk4 swerve","2024-04-17 21:06:47"
95,4039,Java,1,0,0,0,0,0,0,1,0,0,0,0,99,1,1,1,0,,"2024-04-17 21:06:47"
96,5024,Java,1,0,0,0,0,0,1,0,0,0,0,0,101,1,0,1,0,,"2024-04-17 21:06:47"
97,6191,Other,1,0,0,0,0,0,0,0,1,0,0,0,91,1,0,1,1,"swerve, not sure what type","2024-04-17 21:06:48"
98,6429,Java,1,0,0,0,0,1,0,0,0,0,0,0,95,1,1,1,1,,"2024-04-17 21:06:48"
99,7565,Other,1,0,0,0,0,0,0,1,0,0,0,0,110,1,1,1,1,,"2024-04-17 21:06:48"
100,7605,C++,1,0,0,0,0,0,1,0,0,0,0,0,121,1,0,1,0,,"2024-04-17 21:06:48"
101,7748,Other,0,1,0,0,0,0,0,0,0,1,0,0,96,1,0,1,1,,"2024-04-17 21:06:48"
102,8780,Other,1,0,0,0,0,0,0,1,0,0,0,0,85,1,1,1,0,,"2024-04-17 21:06:48"
103,9098,Java,1,0,0,0,0,0,0,0,0,1,0,0,94,1,0,1,0,,"2024-04-17 21:06:48"
104,9602,Java,1,0,0,0,0,1,0,0,0,0,0,0,123,1,1,1,1,,"2024-04-17 21:06:48"
105,9609,Other,1,0,0,0,0,0,1,0,0,0,0,0,106,1,1,1,0,,"2024-04-17 21:06:49"
106,27,Java,1,0,0,0,0,0,1,0,0,0,0,0,121,1,0,1,0,,"2024-04-17 21:07:23"
107,1880,Java,1,0,0,0,0,0,1,0,0,0,0,0,91,0,1,1,0,,"2024-04-17 21:07:23"
108,1891,Java,1,0,0,0,0,0,1,0,0,0,0,0,115,1,1,1,0,"Amp speaker and climb","2024-04-17 21:07:23"
109,2341,LabView,1,0,0,0,0,0,0,1,0,0,0,0,86,1,0,1,0,,"2024-04-17 21:07:23"
110,2767,Other,1,0,0,0,0,0,0,0,1,0,0,0,123,1,0,1,0,"Amp and speaker 
trap","2024-04-17 21:07:24"
111,2910,Java,1,0,0,0,0,0,1,0,0,0,0,0,121,1,0,1,0,,"2024-04-17 21:07:24"
112,2974,Java,1,0,0,0,0,0,1,0,0,0,0,0,112,1,0,1,0,,"2024-04-17 21:07:24"
113,3008,Java,1,0,0,0,0,0,0,0,0,1,0,0,70,1,0,1,0,"speaker and climb","2024-04-17 21:07:24"
114,3015,Java,1,0,0,0,0,0,1,0,0,0,0,0,116,1,0,1,0,,"2024-04-17 21:07:24"
115,3196,Java,1,0,0,0,0,0,1,0,0,0,0,0,111,1,0,1,0,"climb Amp speaker","2024-04-17 21:07:24"
116,3414,Java,1,0,0,0,0,0,1,0,0,0,0,0,125,1,0,1,0,"Amp and speaker and climb","2024-04-17 21:07:24"
117,3504,Java,1,0,0,0,0,0,0,1,0,0,0,0,120,1,0,1,0,"Amp and speaker 
no trap","2024-04-17 21:07:24"
118,3506,Java,1,0,0,0,0,1,0,0,0,0,0,0,103,1,0,1,0,,"2024-04-17 21:07:25"
119,3620,Other,1,0,0,0,0,0,0,0,1,0,0,0,121,1,1,1,0,"stryke force swerve 
Amp and speaker 
no trap","2024-04-17 21:07:25"
120,3663,Java,1,0,0,0,0,0,1,0,0,0,0,0,125,1,0,1,0,"Amp and speaker 
no trap","2024-04-17 21:07:25"
121,3937,Java,0,0,0,0,0,0,1,0,0,0,0,0,124,1,0,1,0,,"2024-04-17 21:07:25"
122,4130,Java,1,0,0,0,0,0,1,0,0,0,0,0,106,1,0,1,0,,"2024-04-17 21:07:25"
123,4329,Java,1,0,0,0,0,0,1,0,0,0,0,0,120,1,1,1,0,,"2024-04-17 21:07:25"
124,4607,Java,1,0,0,0,0,0,1,0,0,0,0,0,125,1,1,1,0,,"2024-04-17 21:07:25"
125,5472,Java,1,0,0,0,0,1,0,0,0,0,0,0,117,1,1,1,0,"Amp and speaker","2024-04-17 21:07:25"
126,5614,Java,1,0,0,0,0,0,1,0,0,0,0,0,120,1,1,1,0,"speaker and climb","2024-04-17 21:07:25"
127,5985,Java,1,0,0,0,0,0,1,0,0,0,0,0,118,1,0,1,0,"Amp and speaker","2024-04-17 21:07:26"
128,5993,Java,1,0,0,0,0,0,0,1,0,0,0,0,89,1,0,1,0,"Amp speaker and climb","2024-04-17 21:07:26"
129,6366,Java,1,0,0,0,0,1,0,0,0,0,0,0,115,1,0,1,0,,"2024-04-17 21:07:26"
130,6443,Java,1,0,0,0,0,0,1,0,0,0,0,0,120,1,0,1,0,"speaker Amp and climb","2024-04-17 21:07:26"
131,6919,Java,1,0,0,0,0,0,1,0,0,0,0,0,115,1,0,1,0,"Amp and speaker","2024-04-17 21:07:26"
132,7111,Java,1,0,0,0,0,0,1,0,0,0,0,0,95,1,1,1,0,"working on amp
score in speaker","2024-04-17 21:07:26"
133,8048,Java,1,0,0,0,0,0,1,0,0,0,0,0,85,1,0,1,0,,"2024-04-17 21:07:26"
134,8393,Java,1,0,0,0,0,0,1,0,0,0,0,0,120,1,1,1,0,"no trap","2024-04-17 21:07:26"
135,9401,Java,1,0,0,0,0,0,0,1,0,0,0,0,115,1,0,1,0,"only do harmony with robots that have tall climb hooks","2024-04-17 21:07:27"
136,9475,Java,1,0,0,0,0,0,0,0,0,1,0,0,100,1,0,0,0,"does not fit under stage","2024-04-17 21:07:27"
137,9477,Java,1,0,0,0,0,0,0,0,0,1,0,0,115,1,0,0,0,"can't fit under stage","2024-04-17 21:07:27"
138,9495,Java,0,0,0,0,0,0,0,0,1,0,0,0,111,1,0,1,0,"speaker Amp climb no trap
swerve unknown","2024-04-17 21:07:27"
139,99999,Other,0,0,0,0,0,0,0,0,1,0,0,0,99,1,0,0,1,testing,"2024-04-17 21:07:27"
140,4392,Java,1,0,0,0,0,0,0,0,1,0,0,0,117,1,1,1,0,"Amp speaker and climb","2024-04-17 21:29:02"
141,6014,Java,1,0,0,0,0,0,1,0,0,0,0,0,100,1,1,1,0,"speaker Amp And climb","2024-04-17 21:31:17"
142,9613,Java,1,0,0,0,0,0,0,0,0,1,0,0,85,0,1,0,0,"speaker and climb","2024-04-17 21:32:52"
143,4779,Java,1,0,0,0,0,0,1,0,0,0,0,0,112,1,0,1,0,"speaker Amp and climb","2024-04-17 21:52:10"
